Glioma	Barrett Esophagus	Atherosclerosis	Neoplasms	Periodontitis	Prostatic Neoplasms	Fragile X Syndrome	Alzheimer Disease	Myositis, Inclusion Body	Melanoma	Breast Neoplasms	Huntington Disease	Testicular Neoplasms	Endometrial Neoplasms	Esophageal Squamous Cell Carcinoma	Aortic Aneurysm, Abdominal	Aortic Rupture	Neoplasms, Basal Cell	Myocardial Ischemia	Diabetes Mellitus	Endometriosis	Intracranial Aneurysm	Frailty	Glaucoma	Leukemia	Myocardial Infarction	Nasopharyngeal Carcinoma	Neurofibromatoses	Peripheral Arterial Disease	Neurofibroma, Plexiform	Stroke	Diabetes Mellitus, Type 2	Colorectal Neoplasms	Bone Diseases	Muscular Dystrophy, Facioscapulohumeral	Leukemia, Lymphocytic, Chronic, B-Cell	Leukemia, Lymphoid	Lymphoma	Ovarian Neoplasms	Carcinoma, Embryonal	Kidney Neoplasms	Adrenocortical Carcinoma	Beckwith-Wiedemann Syndrome	Hydatidiform Mole	Uterine Cervical Neoplasms	Choriocarcinoma	Colonic Neoplasms	Congenital Hyperinsulinism	Glioblastoma	Hyperhomocysteinemia	Infertility	Liver Neoplasms	Neuroectodermal Tumors, Primitive	Meningioma	Neural Tube Defects	Neuroblastoma	Obesity	Pheochromocytoma	Pituitary Neoplasms	Prader-Willi Syndrome	Pre-Eclampsia	Silver-Russell Syndrome	Adenocarcinoma	Pancreatic Neoplasms	Arthritis, Rheumatoid	Multiple Sclerosis	Diabetes Mellitus, Type 1	Muscular Dystrophy, Duchenne	Narcolepsy	Parkinson Disease	Neoplasms, Bone Tissue	Gallbladder Neoplasms	Leukemia, Myeloid, Acute	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Myelodysplastic Syndromes	Myopia	Amyotrophic Lateral Sclerosis	Frontotemporal Lobar Degeneration	Psoriasis	Burkitt Lymphoma	Cleft Lip	Hodgkin Disease	Plasmacytoma	Rhabdomyosarcoma	Dyskeratosis Congenita	Mucocutaneous Lymph Node Syndrome	Angelman Syndrome	Pancreaticobiliary Maljunction	Neoplasms, Squamous Cell	Klinefelter Syndrome	Carcinoma, Renal Cell	Polycystic Ovary Syndrome	Multiple Myeloma	Esophageal Neoplasms	Kidney Failure, Chronic	Colitis, Ulcerative	Hemangioma	Gastrointestinal Stromal Tumors	Pneumoconiosis	Asthma	Lupus Erythematosus, Systemic	Hypertension	Pulmonary Arterial Hypertension	Hepatoblastoma	Leukemia, Promyelocytic, Acute	Vitreoretinopathy, Proliferative	Diabetic Retinopathy	Retinoblastoma	Osteoarthritis	Cardiomyopathy, Dilated	Metabolic Syndrome	Nephrolithiasis	Asthenozoospermia	Intervertebral Disc Degeneration	Cholangiocarcinoma	Head and Neck Neoplasms	Anemia, Aplastic	Exfoliation Syndrome	Congenital Microtia	Astrocytoma	Hirschsprung Disease	Liver Cirrhosis	Neuroectodermal Tumors, Primitive, Peripheral	Acute Kidney Injury	Leukemia, Myeloid	Primary Myelofibrosis	Lymphoma, Mantle-Cell	Lymphoma, B-Cell
Intracranial Aneurysm	0	0	0.150943396226415	0	0	0	0.00952380952380952	0.133689839572193	0.0184049079754601	0	0	0.113821138211382	0	0	0	0.287425149700599	0.231884057971014	0	0.248520710059172	0	0	1	0	0	0	0.147783251231527	0	0.0524193548387097	0.175531914893617	0.0146627565982405	0.43859649122807	0	0	0	0.0114942528735632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145631067961165	0.0545454545454545	0	0	0	0.0756756756756757	0.012448132780083	0	0	0	0	0	0.0292397660818713	0	0.0105263157894737	0.0125	0.118811881188119	0	0	0	0	0	0	0.0684931506849315	0.124378109452736	0	0	0	0	0	0	0	0.143540669856459	0.0717703349282297	0	0	0	0	0	0.119521912350598	0	0	0	0	0	0	0	0	0.274509803921569	0	0	0	0	0.153846153846154	0	0	0.0578034682080925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frailty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.185185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0684931506849315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257142857142857	0	0	0	0	0	0
Glaucoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0.103896103896104	0.0995024875621891	0	0	0	0	0	0	0	0	0	0.103448275862069	0	0	0	0	0	0	0	0	0	0
Leukemia	0.240875912408759	0.114285714285714	0	0.454545454545455	0	0.0684931506849315	0	0	0	0.258278145695364	0.114285714285714	0	0.0721649484536082	0.0671641791044776	0.156756756756757	0	0	0.310344827586207	0	0	0	0	0	0	1	0	0.18429003021148	0.169082125603865	0	0.208494208494208	0	0	0.0545454545454545	0	0	0.488372093023256	0.538461538461538	0.315789473684211	0.0609137055837563	0.310344827586207	0.0657894736842105	0.165644171779141	0	0.2265625	0.06	0.221556886227545	0.0631970260223048	0	0.211267605633803	0	0	0.0857142857142857	0.240875912408759	0.224242424242424	0	0.211267605633803	0	0.209876543209877	0.064388961892247	0	0	0	0.254237288135593	0.0731707317073171	0	0	0	0	0	0	0.254237288135593	0.0684931506849315	0.593220338983051	0.472972972972973	0	0	0	0	0	0.159763313609467	0	0.264705882352941	0.25	0.21259842519685	0	0	0	0	0.310344827586207	0	0.162650602409639	0.0872727272727273	0.171428571428571	0.0804597701149425	0	0	0.310344827586207	0.194805194805195	0	0	0	0	0	0.310344827586207	0.529411764705882	0	0	0.164179104477612	0	0	0	0	0	0	0.226890756302521	0.142857142857143	0	0	0	0.221789883268482	0	0	0.221789883268482	0	0.724137931034483	0	0.234375	0.234375
Myocardial Infarction	0	0	0.107142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0.102272727272727	0.0833333333333333	0	0.606741573033708	0	0	0.147783251231527	0.185185185185185	0	0	1	0	0	0.137055837563452	0	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110091743119266	0	0	0	0	0	0	0.0923076923076923	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0.117647058823529	0	0	0.131868131868132	0	0	0	0	0	0	0	0	0	0	0	0.0947368421052632	0	0	0	0	0	0
Nasopharyngeal Carcinoma	0.165354330708661	0.0542635658914729	0	0.243816254416961	0.0353982300884956	0.0476190476190476	0	0	0	0.105134474327628	0.142118863049096	0	0.0868686868686869	0.0346666666666667	0.270440251572327	0	0	0.250737463126844	0	0	0	0	0	0	0.18429003021148	0	1	0.0671785028790787	0	0.0519125683060109	0	0	0.0297482837528604	0	0	0.0520547945205479	0.0883054892601432	0.148418491484185	0.06187624750499	0.109144542772861	0.0462287104622871	0.224018475750577	0	0.0633608815426997	0.0319410319410319	0.251700680272109	0.0265957446808511	0	0.105485232067511	0	0	0.0801033591731266	0.165354330708661	0.102974828375286	0	0.105485232067511	0	0.0457142857142857	0.0666666666666667	0	0	0	0.352769679300292	0.071264367816092	0	0	0	0	0	0	0.0728862973760933	0.0476190476190476	0.0728862973760933	0.0620347394540943	0	0	0	0	0	0.0426966292134831	0.0300751879699248	0.0976253298153034	0.0936708860759494	0.0526315789473684	0	0	0	0	0.250737463126844	0	0.220956719817768	0.0340314136125654	0.0702087286527514	0.173626373626374	0	0	0.109144542772861	0.0602409638554217	0	0	0	0	0	0.109144542772861	0.0550724637681159	0	0	0.143418467583497	0	0	0	0	0	0	0.263768115942029	0.371601208459215	0	0	0.0527704485488127	0.126373626373626	0	0	0.126373626373626	0	0.109144542772861	0	0.068870523415978	0.068870523415978
Neurofibromatoses	0.120689655172414	0.0723404255319149	0	0.224043715846995	0	0.045643153526971	0.208333333333333	0.141078838174274	0.0645161290322581	0.138211382113821	0.0723404255319149	0.303333333333333	0.0519031141868512	0.0436681222707424	0.0571428571428571	0	0	0.109004739336493	0	0	0	0.0524193548387097	0	0	0.169082125603865	0	0.0671785028790787	1	0	0.371937639198218	0.0622222222222222	0	0.0384615384615385	0	0.162280701754386	0.0625	0.0916334661354582	0.1417004048583	0.0445205479452055	0.109004739336493	0.0445344129554656	0.0542635658914729	0.102127659574468	0.0717488789237668	0.0408163265306122	0.0916030534351145	0.0413943355119826	0.0433212996389892	0.0832383124287343	0.0646319569120287	0	0.0553191489361702	0.120689655172414	0.223076923076923	0.127853881278539	0.0832383124287343	0	0.0854503464203233	0.0937773882559159	0.128813559322034	0	0.0860215053763441	0.07981220657277	0.0501930501930502	0	0.0711111111111111	0	0.151639344262295	0.0607476635514019	0.13671875	0.07981220657277	0.045643153526971	0.07981220657277	0.0699588477366255	0	0	0.117216117216117	0.133333333333333	0	0.053030303030303	0.024896265560166	0.0995670995670996	0.096234309623431	0.0630630630630631	0.0816326530612245	0	0.152091254752852	0.0321285140562249	0.109004739336493	0.0561797752808989	0.053639846743295	0.0559139784946237	0.0754098360655738	0.0557620817843866	0	0	0.109004739336493	0.0682730923694779	0	0	0	0	0	0.109004739336493	0.0654205607476635	0	0	0.0945945945945946	0	0	0	0	0	0	0.0654205607476635	0.0821256038647343	0	0	0.051948051948052	0.0961968680089485	0.032	0	0.0961968680089485	0	0.109004739336493	0	0.0762331838565022	0.0762331838565022
Peripheral Arterial Disease	0	0	0.686274509803922	0	0	0	0	0	0	0	0	0	0	0	0	0.130434782608696	0.104477611940299	0	0.239263803680982	0	0	0.175531914893617	0	0	0	0.137055837563452	0	0	1	0	0.163636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133004926108374	0	0	0	0	0	0	0.110204081632653	0	0	0	0	0	0	0	0	0.26530612244898	0	0	0	0	0.142857142857143	0	0	0.0538922155688623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurofibroma, Plexiform	0.129449838187702	0.0571428571428571	0	0.312796208530806	0	0.018348623853211	0.0134048257372654	0.0458715596330275	0.0609318996415771	0.154302670623145	0.0571428571428571	0.0382022471910112	0.033096926713948	0.0132013201320132	0.0395061728395062	0	0	0.112359550561798	0	0	0	0.0146627565982405	0	0	0.208494208494208	0	0.0519125683060109	0.371937639198218	0	1	0.023728813559322	0	0.010958904109589	0	0.0365448504983389	0.0409556313993174	0.0864553314121038	0.15929203539823	0.0233100233100233	0.112359550561798	0.0176991150442478	0.0332409972299169	0	0.0549828178694158	0.0119402985074627	0.0867208672086721	0.00986842105263158	0	0.072310405643739	0	0	0.0317460317460317	0.129449838187702	0.249315068493151	0.0671378091872792	0.072310405643739	0	0.0755395683453237	0.0541516245487365	0.0160919540229885	0	0	0.0664206642066421	0.0275482093663912	0	0.0372881355932203	0	0.033033033033033	0.0183150183150183	0.0476190476190476	0.0664206642066421	0.018348623853211	0.0664206642066421	0.054380664652568	0	0	0.0741687979539642	0.0422535211267606	0	0.032171581769437	0	0.0977198697068404	0.0928792569659443	0.041522491349481	0	0	0.0296495956873315	0	0.112359550561798	0	0.0326975476839237	0.032258064516129	0.0659340659340659	0.0365535248041775	0	0	0.112359550561798	0.0524781341107872	0	0	0	0	0	0.112359550561798	0.043956043956044	0	0	0.091533180778032	0	0	0	0	0	0	0.043956043956044	0.0694980694980695	0	0	0	0.0924657534246575	0	0	0.0924657534246575	0	0.112359550561798	0	0.0618556701030928	0.0618556701030928
Stroke	0	0	0.132352941176471	0	0	0	0.0160427807486631	0.195121951219512	0.0285714285714286	0	0	0.15695067264574	0	0	0	0.125	0.0978260869565217	0	0.246575342465753	0	0	0.43859649122807	0	0	0	0.133333333333333	0	0.0622222222222222	0.163636363636364	0.023728813559322	1	0	0	0	0.0198675496688742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218579234972678	0.0704225352112676	0	0	0	0.117647058823529	0.018348623853211	0	0	0	0	0	0.0405405405405405	0	0.0179640718562874	0.0218978102189781	0.173184357541899	0	0	0	0	0	0	0.0918367346938776	0.179775280898876	0	0	0	0	0	0	0	0.129032258064516	0.0967741935483871	0	0	0	0	0	0.105263157894737	0	0	0	0	0	0	0	0	0.276923076923077	0	0	0	0	0.13953488372093	0	0	0.0533333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diabetes Mellitus, Type 2	0	0	0	0	0	0	0	0	0	0	0	0	0.0961538461538462	0	0	0	0	0	0	0.780821917808219	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0947867298578199	0	0	0.0564971751412429	0	0	0	0	0	0.142857142857143	0	0.124050632911392	0	0	0	0	0	0	0.0375	0	0.0783353733170135	0.0186915887850467	0	0	0	0.0898876404494382	0	0	0.463414634146341	0	0	0	0	0	0	0	0	0	0.0625	0.0689655172413793	0	0	0	0	0	0	0	0	0	0	0	0.0752688172043011	0	0.066006600660066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178571428571429	0	0	0	0.286624203821656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorectal Neoplasms	0.0210526315789474	0.139896373056995	0	0.234042553191489	0	0.0452261306532663	0	0	0	0.0294117647058824	0.139896373056995	0	0.0850202429149798	0.0320855614973262	0.201680672268908	0	0	0.029585798816568	0	0	0	0	0	0	0.0545454545454545	0	0.0297482837528604	0.0384615384615385	0	0.010958904109589	0	0	1	0	0	0.010989010989011	0.0239234449760766	0.0439024390243902	0.06	0.029585798816568	0.0439024390243902	0.0277777777777778	0	0.0220994475138122	0.0295566502463054	0.0363636363636364	0.744	0.0425531914893617	0.00987306064880113	0	0	0.233160621761658	0.0210526315789474	0.0458715596330275	0	0.00987306064880113	0	0.00859598853868195	0.0647482014388489	0	0	0	0.0175438596491228	0.207373271889401	0	0	0	0	0	0	0.0175438596491228	0.135678391959799	0.0175438596491228	0.0149253731343284	0	0	0	0	0	0.00900900900900901	0	0.0264550264550265	0.0253807106598985	0.0111111111111111	0	0	0	0.0579710144927536	0.029585798816568	0	0.0273972602739726	0.026246719160105	0.0190114068441065	0.330396475770925	0	0.280952380952381	0.029585798816568	0.27536231884058	0	0	0	0	0	0.029585798816568	0.0116279069767442	0	0	0.0393700787401575	0	0	0	0	0	0	0.0116279069767442	0.163636363636364	0	0	0	0.0137741046831956	0.254807692307692	0.0518134715025907	0.0137741046831956	0	0.029585798816568	0	0.0165745856353591	0.0165745856353591
Bone Diseases	0	0	0	0	0	0	0	0	0.175438596491228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113636363636364	0	0	0.166666666666667	0	0	0.127659574468085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212121212121212	0	0	0	0	0.555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muscular Dystrophy, Facioscapulohumeral	0	0	0	0	0	0	0.105263157894737	0.0419161676646707	0.188811188811189	0	0	0.141592920353982	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0	0	0	0	0.162280701754386	0	0.0365448504983389	0.0198675496688742	0	0	0.144	1	0	0	0	0	0	0	0	0.149068322981366	0	0	0	0	0.0591133004926108	0	0.0880195599022005	0	0	0	0.0161290322580645	0.117241379310345	0	0	0	0.0118343195266272	0.122171945701357	0	0.146341463414634	0	0	0.0710659898477157	0.033112582781457	0	0.529411764705882	0.0142857142857143	0.043956043956044	0	0	0	0	0	0	0.0753768844221105	0.0386740331491713	0	0	0.0359281437125748	0	0	0	0.109090909090909	0	0.153439153439153	0.0457142857142857	0	0.077720207253886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869565217391304	0	0	0	0	0.0437956204379562	0	0	0	0	0.0764331210191083	0	0.0454545454545455	0	0	0	0	0	0	0
Leukemia, Lymphocytic, Chronic, B-Cell	0.0779220779220779	0.0573248407643312	0	0.314285714285714	0	0.0184049079754601	0	0	0	0.107142857142857	0.0573248407643312	0	0.033175355450237	0.0132450331125828	0.0396039603960396	0	0	0.112781954887218	0	0	0	0	0	0	0.488372093023256	0	0.0520547945205479	0.0625	0	0.0409556313993174	0	0	0.010989010989011	0	0	1	0.722543352601156	0.455621301775148	0.0233644859813084	0.112781954887218	0.0177514792899408	0.0333333333333333	0	0.0551724137931034	0.0119760479041916	0.0869565217391304	0.0099009900990099	0	0.0371681415929204	0	0	0.0318471337579618	0.0779220779220779	0.0879120879120879	0	0.0371681415929204	0	0.0324909747292419	0.0253317249698432	0	0	0	0.0666666666666667	0.0276243093922652	0.0466321243523316	0.0204081632653061	0.0538922155688623	0	0	0	0.0666666666666667	0.0184049079754601	0.155555555555556	0.145454545454545	0.037593984962406	0	0	0	0	0.112903225806452	0	0.294117647058824	0.31055900621118	0.0416666666666667	0.00925925925925926	0.145945945945946	0	0	0.112781954887218	0	0.0327868852459016	0.0323624595469256	0.233480176211454	0.0366492146596859	0	0	0.112781954887218	0.0526315789473684	0	0.0160427807486631	0.0588235294117647	0	0	0.112781954887218	0.102941176470588	0	0	0.055045871559633	0	0	0	0	0	0	0.0441176470588235	0.0697674418604651	0.0429447852760736	0	0	0.0515463917525773	0	0	0.0515463917525773	0	0.263157894736842	0.0222222222222222	0.2	0.2
Leukemia, Lymphoid	0.116022099447514	0.0652173913043478	0	0.272727272727273	0	0.0315789473684211	0	0	0	0.138461538461538	0.0652173913043478	0	0.0420168067226891	0.0280898876404494	0.074235807860262	0	0	0.15	0	0	0	0	0	0	0.538461538461538	0	0.0883054892601432	0.0916334661354582	0	0.0864553314121038	0	0	0.0239234449760766	0	0	0.722543352601156	1	0.591836734693878	0.033195020746888	0.15	0.0306122448979592	0.072463768115942	0	0.0988372093023256	0.0257731958762887	0.118483412322275	0.0252100840336134	0	0.0846953937592868	0	0	0.0434782608695652	0.116022099447514	0.119617224880383	0	0.0846953937592868	0	0.081570996978852	0.0352187833511206	0	0	0	0.111111111111111	0.0384615384615385	0.0545454545454545	0.0344827586206897	0.0618556701030928	0	0	0	0.111111111111111	0.0315789473684211	0.259259259259259	0.25	0.05	0	0	0	0	0.28169014084507	0	0.466666666666667	0.425531914893617	0.087719298245614	0.0205761316872428	0.169811320754717	0	0	0.15	0	0.0714285714285714	0.0440771349862259	0.338582677165354	0.0458715596330275	0	0	0.15	0.0909090909090909	0	0.0280373831775701	0.0666666666666667	0	0	0.15	0.214723926380368	0	0	0.0857142857142857	0	0	0	0	0	0	0.0920245398773006	0.0769230769230769	0.0526315789473684	0	0	0.0956521739130435	0	0	0.0956521739130435	0	0.35	0.037037037037037	0.395348837209302	0.395348837209302
Lymphoma	0.186440677966102	0.0888888888888889	0	0.3125	0	0.0537634408602151	0	0	0	0.204188481675393	0.0888888888888889	0	0.0598290598290598	0.0517241379310345	0.128888888888889	0	0	0.230769230769231	0	0	0	0	0	0	0.315789473684211	0	0.148418491484185	0.1417004048583	0	0.15929203539823	0	0	0.0439024390243902	0	0	0.455621301775148	0.591836734693878	1	0.0506329113924051	0.230769230769231	0.0520833333333333	0.133004926108374	0	0.172619047619048	0.0473684210526316	0.178743961352657	0.0487106017191977	0	0.159817351598174	0	0	0.0666666666666667	0.186440677966102	0.180487804878049	0	0.159817351598174	0	0.157894736842105	0.0532030401737242	0	0	0	0.189873417721519	0.0588235294117647	0.0555555555555556	0.0352941176470588	0.0631578947368421	0	0	0	0.189873417721519	0.0537634408602151	0.189873417721519	0.191489361702128	0.0512820512820513	0	0	0	0	0.516746411483254	0	0.818181818181818	0.5	0.161676646706587	0.0209205020920502	0.173076923076923	0	0	0.230769230769231	0	0.131067961165049	0.0676056338028169	0.392	0.0654205607476635	0	0	0.230769230769231	0.154639175257732	0	0.0285714285714286	0.0681818181818182	0	0	0.230769230769231	0.169811320754717	0	0	0.136929460580913	0	0	0	0	0	0	0.169811320754717	0.105263157894737	0.0537634408602151	0	0	0.169139465875371	0	0	0.169139465875371	0	0.230769230769231	0.0379746835443038	0.714285714285714	0.714285714285714
Ovarian Neoplasms	0.0315315315315315	0.0533333333333333	0	0.208092485549133	0	0.147186147186147	0	0	0	0.038135593220339	0.16	0	0.422939068100358	0.324200913242009	0.0777777777777778	0	0	0.0398009950248756	0	0.129032258064516	0.203980099502488	0	0	0	0.0609137055837563	0	0.06187624750499	0.0445205479452055	0	0.0233100233100233	0	0.0947867298578199	0.06	0	0	0.0233644859813084	0.033195020746888	0.0506329113924051	1	0.0398009950248756	0.206751054852321	0.19758064516129	0	0.0516431924882629	0.302127659574468	0.0634920634920635	0.061503416856492	0	0.022700119474313	0	0.182222222222222	0.106666666666667	0.0315315315315315	0.076	0	0.022700119474313	0	0.0217917675544794	0.278837420526794	0	0.0348258706467662	0	0.0295566502463054	0.305220883534137	0	0	0.0851063829787234	0	0	0	0.0295566502463054	0.0779220779220779	0.0295566502463054	0.0257510729613734	0	0	0	0	0	0.0196850393700787	0	0.0361990950226244	0.0349344978165939	0.0235849056603774	0	0	0	0	0.0398009950248756	0.194552529182879	0.155378486055777	0.38876404494382	0.0271186440677966	0.115830115830116	0.0510948905109489	0	0.0398009950248756	0.0251046025104603	0	0	0	0	0	0.0398009950248756	0.0245098039215686	0	0.0585774058577406	0.0664335664335664	0	0	0	0.0672645739910314	0	0	0.0245098039215686	0.182741116751269	0	0	0	0.0257611241217799	0	0	0.0257611241217799	0.058252427184466	0.0398009950248756	0	0.028169014084507	0.028169014084507
Carcinoma, Embryonal	0.290780141843972	0.0833333333333333	0	0.391304347826087	0	0.04	0	0	0	0.303225806451613	0.0833333333333333	0	0.0505050505050505	0.036231884057971	0.0899470899470899	0	0	0.2	0	0	0	0	0	0	0.310344827586207	0	0.109144542772861	0.109004739336493	0	0.112359550561798	0	0	0.029585798816568	0	0	0.112781954887218	0.15	0.230769230769231	0.0398009950248756	1	0.0384615384615385	0.0898203592814371	0	0.28030303030303	0.0324675324675325	0.286549707602339	0.0324909747292419	0	0.243664717348928	0	0	0.0555555555555556	0.290780141843972	0.14792899408284	0	0.243664717348928	0	0.250996015936255	0.0424710424710425	0	0	0	0.147540983606557	0.0476190476190476	0	0	0	0	0	0	0.147540983606557	0.04	0.147540983606557	0.118421052631579	0	0	0	0	0	0.0867052023121387	0	0.171428571428571	0.162162162162162	0.114503816793893	0	0	0	0	0.2	0	0.0882352941176471	0.0565371024734982	0.11214953271028	0.0561797752808989	0	0	0.2	0.113924050632911	0	0	0	0	0	0.2	0.121951219512195	0	0	0.2	0	0	0	0	0	0	0.121951219512195	0.103448275862069	0	0	0	0.260377358490566	0	0	0.260377358490566	0	0.2	0	0.136363636363636	0.136363636363636
Kidney Neoplasms	0.0282485875706215	0.0555555555555556	0	0.265625	0	0.193548387096774	0	0	0	0.0366492146596859	0.166666666666667	0	0.205128205128205	0.172413793103448	0.0666666666666667	0	0	0.0384615384615385	0	0	0.115384615384615	0	0	0	0.0657894736842105	0	0.0462287104622871	0.0445344129554656	0	0.0176991150442478	0	0	0.0439024390243902	0	0	0.0177514792899408	0.0306122448979592	0.0520833333333333	0.206751054852321	0.0384615384615385	1	0.0443349753694581	0	0.0476190476190476	0.157894736842105	0.0628019323671498	0.0429799426934097	0	0.0167427701674277	0	0.166666666666667	0.1	0.0282485875706215	0.0634146341463415	0	0.0167427701674277	0	0.0154798761609907	0.0814332247557003	0	0.0384615384615385	0	0.0253164556962025	0.0882352941176471	0	0	0	0	0	0	0.0253164556962025	0.0645161290322581	0.0253164556962025	0.0212765957446809	0	0	0	0	0	0.0143540669856459	0	0.0340909090909091	0.0326086956521739	0.0179640718562874	0	0	0	0	0.0384615384615385	0.0707547169811321	0.699029126213592	0.076056338028169	0.024	0.11214953271028	0.264797507788162	0	0.0384615384615385	0.0206185567010309	0	0	0	0	0	0.0384615384615385	0.0188679245283019	0	0	0.0539419087136929	0	0	0	0.382022471910112	0.0379746835443038	0	0.0188679245283019	0.197368421052632	0	0	0	0.0207715133531157	0	0	0.0207715133531157	0.316770186335404	0.0384615384615385	0	0.0238095238095238	0.0238095238095238
Adrenocortical Carcinoma	0.127659574468085	0.0471204188481675	0	0.237410071942446	0	0.0456852791878173	0	0	0	0.0891089108910891	0.141361256544503	0	0.224489795918367	0.0324324324324324	0.169491525423729	0	0	0.209580838323353	0	0.0983606557377049	0	0	0	0	0.165644171779141	0	0.224018475750577	0.0542635658914729	0	0.0332409972299169	0	0.0564971751412429	0.0277777777777778	0	0	0.0333333333333333	0.072463768115942	0.133004926108374	0.19758064516129	0.0898203592814371	0.0443349753694581	1	0	0.0446927374301676	0.0298507462686567	0.330275229357798	0.0242587601078167	0	0.0641940085592011	0	0	0.0785340314136126	0.127659574468085	0.0925925925925926	0	0.0641940085592011	0	0.0260869565217391	0.189637305699482	0	0	0	0.550295857988166	0.209302325581395	0	0	0.0497512437810945	0	0	0	0.0532544378698225	0.0456852791878173	0.0532544378698225	0.0452261306532663	0	0	0	0	0	0.0272727272727273	0	0.0802139037433155	0.0769230769230769	0.0337078651685393	0	0	0	0	0.209580838323353	0.0358744394618834	0.304147465437788	0.0477453580901857	0.0574712643678161	0.0933333333333333	0	0	0.0898203592814371	0.0439024390243902	0	0	0	0	0	0.0898203592814371	0.0352941176470588	0	0.0195121951219512	0.119047619047619	0	0	0	0	0	0	0.364705882352941	0.165644171779141	0	0	0	0.0863509749303621	0	0	0.0863509749303621	0	0.0898203592814371	0	0.0502793296089385	0.0502793296089385
Beckwith-Wiedemann Syndrome	0	0	0	0	0	0	0.274111675126904	0	0	0	0	0.103004291845494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102127659574468	0	0	0	0	0	0	0.149068322981366	0	0	0	0	0	0	0	1	0	0	0	0	0.0571428571428571	0	0.0851063829787234	0	0	0	0	0.157894736842105	0	0	0	0	0.456140350877193	0	0.490566037735849	0	0	0	0	0	0.135593220338983	0	0	0	0	0	0	0	0	0	0	0	0	0.103448275862069	0	0	0	0.176211453744493	0	0.530612244897959	0.131868131868132	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219512195121951	0	0.131147540983607	0	0	0	0	0	0	0
